,item,price,url
1096,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/oak/mad/d/crown-berkey-water-filter/6771462709.html
1097,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/mss/mad/d/crown-berkey-water-filter/6771451108.html
1098,External USB video card,$45,https://toronto.craigslist.org/tor/sop/d/external-usb-video-card/6770815566.html
1099,"2 NEW WATER PRESSURE SAFETY RELIEF VALVES WATTS 3/4"" 174A, 100 PSI",$75,https://toronto.craigslist.org/tor/tls/d/2-new-water-pressure-safety-relief/6770222166.html
1100,chisel set,$100,https://toronto.craigslist.org/tor/tls/d/north-york-chisel-set/6770261387.html
1101,"Power Drill/Screwdriver, Battery Operated",$10,https://toronto.craigslist.org/tor/tls/d/power-drill-screwdriver-battery-operated/6770498620.html
1102,Mini Die Grinder Professional Air Tools.,$0.00,https://toronto.craigslist.org/mss/tls/d/mississauga-mini-die-grinder/6770567804.html
1103,EIZO ColorEdge CG222W Monitor,$299,https://toronto.craigslist.org/tor/sdp/d/east-york-eizo-coloredge-cg222w-monitor/6747878813.html
1104,Dyson DC77 Vacuum Cleaner,$450,https://toronto.craigslist.org/yrk/app/d/aurora-dyson-dc77-vacuum-cleaner/6770167256.html
1105,Wiremold Wall Grommet Kit (CMK60),$15,https://toronto.craigslist.org/tor/ele/d/toronto-wiremold-wall-grommet-kit-cmk60/6770241036.html
1106,subaru navigation bluetooth dvd,$399,https://toronto.craigslist.org/tor/ptd/d/unionville-subaru-navigation-bluetooth/6770581417.html
1107,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/yrk/mad/d/crown-berkey-water-filter/6770699570.html
1108,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/tor/mad/d/crown-berkey-water-filter/6770694657.html
1109,Poopsie Unicorn Surprise Magic Surprises!,$80,https://toronto.craigslist.org/tor/tag/d/north-york-poopsie-unicorn-surprise/6770089698.html
1110,ORICO Hard Drive Enclosure 3.5 inch Sata 3.0 USB 3.0 HDD Case,$20,https://toronto.craigslist.org/tor/sop/d/toronto-orico-hard-drive-enclosure-35/6770622166.html
1111,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/tor/mad/d/crown-berkey-water-filter/6770655949.html
1112,Golf Ball Monogrammer,$10,https://toronto.craigslist.org/tor/spo/d/toronto-golf-ball-monogrammer/6770662452.html
